,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
284,0,0,3.8,62,1,58,1237,150.0,1914
285,0,0,3.0,98,1,4,940,800.0,1914
286,0,0,2.7,128,1,19,488,850.0,1914
287,1,0,2.8,45,1,19,1176,800.0,820
288,1,0,3.5,41,60,41,1168,400.0,1914
289,1,0,3.7,405,1,19,1167,750.0,1581
290,1,0,3.9,388,1,19,233,650.0,367
291,0,0,4.7,651,1,58,1227,100.0,1914
292,1,0,4.3,734,1,58,1263,200.0,1777
293,0,0,4.0,1047,1,58,760,450.0,1914
294,1,0,3.8,505,1,58,254,450.0,249
295,1,0,3.9,264,1,58,1227,200.0,1206
296,1,0,3.9,286,1,58,254,500.0,1270
297,0,0,4.4,343,1,58,1227,100.0,1914
298,0,0,3.8,70,1,58,646,500.0,1914
299,1,0,3.8,70,1,58,1227,100.0,60
300,1,0,3.7,237,1,58,1244,200.0,775
301,1,0,4.1,201,1,58,1263,300.0,721
302,1,0,2.8,506,1,58,1049,500.0,1914
303,0,0,4.1,520,1,58,191,300.0,1914
304,0,0,3.7,88,1,58,1256,300.0,1914
305,1,0,3.7,136,1,58,1193,600.0,339
306,0,0,3.9,88,1,58,1227,250.0,1914
307,0,0,3.8,189,1,58,1227,300.0,1914
308,0,0,3.8,39,1,58,1238,350.0,1914
309,1,0,3.9,540,1,58,1167,800.0,1166
310,0,0,3.6,71,1,58,1117,250.0,1914
311,1,0,3.5,88,1,58,1260,350.0,403
312,1,0,3.0,87,1,58,1169,600.0,1311
313,1,0,4.2,415,1,58,934,500.0,396
314,1,0,3.3,128,1,58,940,300.0,708
315,0,0,4.1,94,1,58,1227,100.0,1914
316,0,0,3.7,65,1,58,681,300.0,1914
317,0,0,3.5,52,1,58,1227,300.0,1914
318,1,0,3.0,290,1,58,957,450.0,26
319,1,0,3.7,59,1,58,1146,200.0,1914
320,0,0,3.7,130,1,58,1227,200.0,1914
321,1,0,3.5,80,1,58,1325,250.0,1595
322,1,0,3.9,441,1,58,1260,400.0,761
323,1,0,3.6,84,1,58,1258,250.0,290
324,0,0,4.0,42,1,58,1275,300.0,1914
325,1,0,3.0,213,1,58,1128,400.0,1640
326,0,0,4.2,725,27,58,1230,350.0,1914
327,1,0,3.9,750,4,19,1007,500.0,1251
328,0,0,3.8,166,4,19,1109,600.0,1914
329,0,0,4.4,4460,4,58,1227,150.0,1914
330,0,0,3.9,153,4,19,1227,350.0,1914
331,1,0,3.8,469,4,19,950,750.0,675
332,1,0,4.1,364,4,19,1240,550.0,1792
333,1,0,3.8,286,4,19,903,600.0,1338
334,1,0,3.8,527,4,19,903,500.0,158
335,1,0,3.9,101,4,58,1227,150.0,1461
336,1,0,4.1,558,4,58,1227,150.0,1914
337,0,0,3.8,148,4,21,938,550.0,1914
338,0,0,2.7,377,4,53,1015,1100.0,1914
339,0,0,3.9,206,4,58,1255,450.0,1914
340,0,0,3.9,100,4,58,1258,300.0,1914
341,1,0,4.2,444,4,58,1227,100.0,1464
342,0,0,3.9,133,4,19,759,650.0,1914
343,1,0,4.0,219,4,12,365,600.0,1819
344,0,0,4.2,253,4,58,1227,250.0,1914
345,0,0,3.7,61,4,19,244,600.0,1914
346,1,0,3.8,155,47,19,1247,400.0,1569
347,1,0,3.9,233,27,19,783,800.0,345
348,1,0,3.7,264,47,19,954,750.0,1331
349,0,0,4.1,238,4,58,1227,600.0,1914
350,1,0,4.1,176,4,19,53,800.0,1246
351,1,0,3.7,93,4,58,1287,200.0,658
352,0,0,3.8,124,4,58,1246,300.0,1914
353,1,0,4.3,275,4,58,1227,100.0,1914
354,0,0,4.2,254,4,58,1227,150.0,1914
355,0,0,4.1,177,4,58,1227,100.0,1914
356,1,0,4.0,132,4,58,642,200.0,1914
357,1,0,3.8,74,4,58,1258,300.0,1655
358,1,0,3.6,172,64,19,940,700.0,1914
359,1,0,3.9,543,4,58,1244,300.0,1914
360,0,0,4.0,52,4,58,1227,300.0,1914
361,0,0,3.7,217,4,19,1010,450.0,1914
362,0,0,3.9,111,4,19,995,700.0,1914
363,1,0,3.8,133,4,58,1294,200.0,1722
364,0,0,3.8,39,27,58,1256,250.0,1914
365,0,0,4.0,64,4,58,1227,200.0,1914
366,0,0,3.8,148,4,58,681,150.0,1914
367,0,0,3.8,55,60,41,479,300.0,1914
368,0,1,3.8,977,1,43,683,1300.0,1914
369,0,0,4.1,868,1,53,562,1200.0,1914
370,0,0,3.3,62,1,4,1258,800.0,1914
371,0,0,3.0,98,1,4,940,800.0,1914
372,0,0,2.7,377,4,53,1015,1100.0,1914
373,1,1,4.4,2487,3,53,1059,900.0,1914
374,1,1,4.2,1964,3,19,69,1000.0,176
375,1,0,4.3,3178,3,19,1105,750.0,1095
376,1,0,3.3,455,3,19,41,550.0,919
377,0,1,4.7,3845,26,19,1042,1600.0,1914
378,0,0,4.3,353,26,19,1117,1200.0,1914
379,0,1,4.1,1234,26,19,1124,800.0,1914
380,1,1,4.1,1538,26,19,128,1000.0,523
381,1,1,3.8,756,26,19,903,1000.0,1914
382,1,1,4.0,347,26,19,1018,1000.0,1914
383,0,1,4.0,165,26,19,1260,1000.0,1914
384,0,0,3.3,177,26,19,963,950.0,1914
385,1,0,3.0,102,0,19,1258,600.0,1061
386,0,1,4.0,200,3,12,304,700.0,1914
387,1,0,3.9,102,3,12,280,450.0,1839
388,1,0,3.7,171,3,12,262,300.0,452
389,1,0,3.7,37,3,12,286,400.0,1105
390,1,0,3.9,40,3,39,355,400.0,228
391,0,0,3.9,125,3,12,359,500.0,1914
392,1,0,3.9,49,3,12,262,600.0,672
393,0,0,3.8,69,3,13,278,700.0,1914
394,0,0,3.9,78,3,12,262,350.0,1914
395,1,0,2.7,48,3,61,444,650.0,1282
396,1,0,4.1,46,26,12,404,600.0,1737
397,0,0,4.0,129,26,12,304,600.0,1914
398,1,1,3.9,727,26,12,332,800.0,153
399,0,0,4.1,521,26,12,321,550.0,1914
400,1,0,4.1,203,26,61,292,650.0,127
401,1,1,4.4,4381,26,21,1161,600.0,854
402,1,0,3.7,131,26,12,406,400.0,1038
403,1,0,3.7,46,26,12,250,450.0,1849
404,0,0,3.4,48,26,12,349,550.0,1914
405,1,0,3.7,127,26,12,376,700.0,198
406,1,0,2.7,85,26,12,400,500.0,1152
407,1,0,4.5,1178,0,28,721,500.0,1914
408,1,0,3.7,335,0,19,51,800.0,1914
409,1,0,3.8,254,0,19,217,800.0,933
410,1,0,4.1,63,26,68,677,300.0,842
411,1,0,4.0,244,0,58,155,400.0,1914
412,1,0,2.9,255,0,58,903,250.0,1914
413,1,0,4.5,549,0,29,605,400.0,1914
414,1,0,4.1,775,0,58,1263,300.0,1914
415,1,0,3.6,208,26,68,220,300.0,1840
416,1,0,4.1,739,26,28,457,500.0,1765
417,1,0,3.8,310,3,58,903,400.0,430
418,1,0,4.0,126,0,58,903,150.0,724
419,1,0,4.1,427,3,68,1097,500.0,715
420,1,0,4.0,197,0,58,903,300.0,1914
421,1,0,4.1,601,0,58,1170,700.0,1817
422,1,0,3.9,488,26,68,210,400.0,438
423,1,0,4.0,396,3,58,1258,400.0,1914
424,1,0,3.6,474,0,58,975,450.0,1914
425,1,0,2.9,172,0,58,940,300.0,1199
426,1,0,3.1,175,3,58,33,250.0,1914
427,1,0,4.0,939,0,19,452,600.0,1914
428,1,0,3.9,173,0,58,1155,250.0,1857
429,1,0,3.9,77,3,58,903,400.0,143
430,1,0,3.9,326,0,12,939,200.0,1914
431,1,0,3.3,212,26,58,182,350.0,485
432,1,0,4.1,464,0,58,925,300.0,1914
433,1,0,3.3,628,3,28,715,450.0,1557
434,1,0,3.6,518,26,19,1258,400.0,1080
435,1,0,3.9,70,3,29,600,350.0,221
436,1,0,3.9,62,26,58,256,300.0,419
437,1,0,4.4,819,27,29,742,400.0,1914
438,1,1,4.2,1964,3,19,69,1000.0,175
439,1,0,4.0,138,3,28,181,650.0,750
440,1,0,3.3,455,3,19,41,550.0,918
441,1,0,3.8,181,3,39,927,600.0,1376
442,1,0,3.6,43,26,58,245,300.0,322
443,1,0,2.7,159,26,58,1159,750.0,1581
444,1,0,3.2,166,3,58,1193,600.0,1914
445,1,0,3.7,128,3,68,217,400.0,1051
446,1,0,2.9,126,0,58,457,300.0,212
447,1,0,4.0,952,27,58,1069,400.0,749
448,1,0,3.8,472,3,58,255,600.0,695
449,1,1,4.0,739,3,19,231,800.0,1114
450,1,0,3.9,255,0,19,41,500.0,426
451,1,0,4.0,1974,26,19,229,800.0,1775
452,1,1,4.2,1428,26,19,50,800.0,524
453,1,0,4.0,332,26,58,1258,300.0,1914
454,1,1,4.0,199,26,58,1169,700.0,849
455,1,0,3.9,437,26,58,254,400.0,252
456,1,0,3.8,207,3,19,183,700.0,364
457,1,1,4.4,4381,26,21,1161,600.0,1914
458,1,0,3.8,55,3,58,1258,300.0,1914
459,1,0,4.0,597,3,58,903,400.0,594
460,1,0,3.0,102,0,19,1258,600.0,1914
461,1,0,3.9,189,0,58,197,300.0,460
462,1,0,3.7,131,26,12,406,400.0,1914
463,1,0,4.2,373,26,19,205,750.0,1914
464,1,0,3.9,435,0,19,151,650.0,1126
465,1,0,4.1,292,0,19,192,700.0,1914
466,1,0,3.6,137,3,58,66,300.0,1914
467,1,0,3.2,133,3,19,951,500.0,1914
468,1,0,3.9,37,26,68,1202,250.0,1451
469,1,0,3.7,170,26,58,672,200.0,1914
470,1,0,3.6,794,3,19,221,550.0,1574
471,1,0,4.6,404,3,19,0,1000.0,1914
472,1,1,3.9,561,3,19,903,900.0,1914
473,1,1,3.9,486,0,12,568,700.0,1914
474,1,0,3.9,320,3,19,940,650.0,947
475,1,0,4.1,237,26,29,620,500.0,995
476,1,1,3.9,1227,3,19,89,900.0,451
477,1,0,4.0,95,3,28,870,600.0,1872
478,1,1,4.1,1538,26,19,128,1000.0,940
479,1,0,3.7,110,3,19,34,800.0,1327
480,1,0,4.1,381,0,58,66,250.0,1524
481,1,0,3.9,251,3,28,934,500.0,400
482,1,0,3.0,353,26,58,1012,400.0,1914
483,1,0,4.0,205,26,28,927,450.0,773
484,1,0,3.9,183,0,58,676,250.0,1770
485,1,0,3.9,99,3,29,742,400.0,1914
486,1,0,4.1,260,26,58,903,300.0,1914
487,1,0,3.9,355,0,58,940,400.0,1914
488,1,0,4.1,83,0,58,667,400.0,1914
489,1,0,2.5,321,26,58,981,400.0,1275
490,1,0,3.9,362,0,19,903,600.0,1914
491,1,1,4.2,2166,26,56,9,1200.0,668
492,1,0,4.0,182,26,65,878,400.0,1914
493,1,1,3.8,500,3,19,1136,1000.0,1914
494,1,0,4.0,532,3,19,494,800.0,1914
495,1,1,3.5,551,3,19,976,600.0,1914
496,1,0,4.2,421,3,19,488,700.0,1914
497,1,0,3.7,662,26,19,154,650.0,1914
498,1,0,3.8,54,3,58,234,500.0,1406
499,1,0,4.1,92,0,58,432,300.0,359
500,1,0,3.7,36,26,28,217,600.0,282
501,1,0,4.2,2350,26,19,903,800.0,1914
502,1,0,3.9,49,3,12,262,600.0,1914
503,1,0,3.7,184,0,58,669,400.0,1914
504,1,1,3.6,225,3,19,221,700.0,1643
505,1,0,4.0,35,0,31,607,300.0,192
506,1,0,4.0,869,0,28,192,500.0,486
507,1,0,4.0,153,26,58,1295,200.0,1914
508,1,0,3.7,139,3,58,1001,400.0,1914
509,1,0,3.7,181,3,28,217,500.0,1914
510,1,0,3.9,669,0,19,903,500.0,1645
511,1,0,3.7,168,3,58,867,600.0,1914
512,1,0,3.8,170,3,58,993,250.0,1914
513,1,0,4.0,112,26,58,1307,200.0,1914
514,1,0,3.8,58,0,58,156,300.0,1417
515,1,0,4.0,167,27,58,1258,400.0,1914
516,1,0,3.9,85,26,58,1181,300.0,1914
517,1,0,3.7,217,26,19,1124,500.0,1914
518,1,0,3.6,192,0,28,710,450.0,1914
519,1,1,4.2,611,0,20,109,1500.0,671
520,1,0,4.0,166,3,28,1159,750.0,652
521,1,0,4.1,46,26,12,404,600.0,1914
522,1,1,4.4,2233,3,20,585,1200.0,1914
523,1,0,4.0,107,0,58,903,300.0,1914
524,1,0,4.2,306,0,28,813,600.0,1914
525,1,1,3.8,756,26,19,903,1000.0,1914
526,1,1,4.4,4309,26,48,505,1600.0,1914
527,1,0,4.0,212,3,58,903,400.0,1914
528,1,0,2.9,153,3,58,151,600.0,1914
